CVEGEO,CENSO,VIVIENDA,HABITANTE,VIAJES_VIVIENDA,VIAJES_ORIGEN,VIAJES_DESTINO
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
141200001461A,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,21A,,,,21A,21A
1.412E+12,24B,,,,24B,24B
141200001194A,24B,24B,24B,24B,24B,24B
141200001301A,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,69B,69B,69B,69B,69B,69B
141200001290A,69B,69B,69B,69B,69B,69B
1.412E+12,69B,69B,69B,69B,69B,69B
1.412E+12,69B,,,,,
1.412E+12,69B,,,,69B,69B
1.412E+12,69B,,,,69B,69B
1.4097E+12,37F,,,,37F,37F
140970775,34,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,38,38,38,38,38
140970822372A,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,39F,,,,,
1.4097E+12,37F,,,,,
1.4097E+12,34,,,,,
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,,,,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
140970822358A,38,38,38,38,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.4097E+12,02F,,,,02F,02F
1.4097E+12,39F,,,,39F,39F
140970023276A,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,11F,11F
1.4097E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,,,,11F,11F
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
140970862290A,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.4097E+12,39F,39F,39F,39F,39F,39F
140970843269A,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,,,,39F,39F
140970862340A,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
140970822251A,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,38,38,38,38,38
140970822194A,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,37F,,,,37F,37F
1.40971E+12,38,38,38,38,38,38
140970833148A,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,37F,,,,37F,37F
1.40971E+12,38,,,,,
1.40971E+12,38,38,38,38,38,38
140970833162A,38,,,,,
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
140970883,38,,,,,
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,38,,,,,
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,,,,,
1.40971E+12,38,,,,,
140980003,30,,,,,
1.40971E+12,34,34,34,34,34,34
1.40971E+12,34,34,34,34,34,34
1.4098E+12,34,,,,34,34
1.4098E+12,34,34,34,34,34,34
140980128288A,34,34,34,34,34,34
140970838,38,,,,,
1.4097E+12,38,,,,,
1.4097E+12,38,,,,38,38
1.4097E+12,38,,,,,
1.40971E+12,38,,,,38,38
1.4097E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.4097E+12,38,,,,38,38
1.40971E+12,38,,,,38,38
140970860,38,,,,,
140970822155A,38,,,,38,38
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.4097E+12,38,,,,38,38
1.4097E+12,38,,,,,
1.4097E+12,38,,,,,
1.40971E+12,38,,,,,
1.4097E+12,38,38,38,38,38,38
1.40971E+12,38,,,,38,38
140970853187A,38,,,,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,38,38,38,38,38
140970831205A,37F,37F,37F,37F,37F,37F
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.4097E+12,38,,,,,
1.40971E+12,38,,,,37F,37F
1.40971E+12,38,,,,,
1.40971E+12,37F,37F,37F,37F,37F,37F
1.40971E+12,37F,37F,37F,37F,37F,37F
1.40971E+12,37F,37F,37F,37F,37F,37F
1.40971E+12,37F,,,,37F,37F
1.4098E+12,34,34,34,34,34,34
140970880,34,,,,,
1.4098E+12,34,34,34,34,34,34
140980105,34,,,,,
140970866,34,,,,,
1.4098E+12,34,,,,34,34
1.40971E+12,38,38,38,38,38,38
1.40971E+12,38,,,,,
1.40971E+12,38,,,,38,38
1.40971E+12,38,38,38,38,38,38
1.4097E+12,59,59,59,59,59,59
1.4097E+12,02F,,,,,
1.4097E+12,59,59,59,59,59,59
1.4097E+12,02F,02F,02F,02F,02F,02F
1.4097E+12,02F,02F,02F,02F,02F,02F
1.4097E+12,02F,02F,02F,02F,02F,02F
1.4097E+12,02F,02F,02F,02F,02F,02F
140970041333A,02F,,,,,
1.4097E+12,02F,,,,,
1.4097E+12,02F,,,,02F,02F
1.4097E+12,02F,,,,,
1.4097E+12,02F,,,,,
1.4097E+12,02F,,,,,
1.4097E+12,02F,,,,,
1.4097E+12,02F,,,,,
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,,
140700014044A,35,35,35,35,35,35
1.407E+12,35,,,,,
1.407E+12,37F,,,,,
1.4097E+12,37F,37F,37F,37F,37F,37F
1.4097E+12,37F,,,,,
1.4097E+12,37F,37F,37F,37F,37F,37F
1.407E+12,35,,,,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
141200230,46F,,,,,
1.412E+12,46F,,,,,
1.4097E+12,37F,,,,,
1.4097E+12,37F,37F,37F,37F,37F,37F
1.4097E+12,37F,37F,37F,37F,37F,37F
1.4097E+12,37F,,,,,
140970856,37F,,,,,
1.407E+12,37F,37F,37F,37F,37F,37F
1.407E+12,37F,37F,37F,37F,37F,37F
1.4097E+12,37F,37F,37F,37F,37F,37F
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,37F,,,,37F,37F
140980001320A,37F,37F,37F,37F,37F,37F
1.4098E+12,37F,37F,37F,37F,37F,37F
1.4098E+12,37F,,,,37F,37F
1.4098E+12,37F,,,,37F,37F
140980001270A,34,34,34,34,34,34
1.4098E+12,34,,,,34,34
1.407E+12,37F,37F,37F,37F,37F,37F
1.4097E+12,37F,,,,,
